day	hour	minutes	temperature
1.08	25.833	1550	20.142036
1.08	26.000	1560	20.175292
1.09	26.167	1570	21.61693781
1.10	26.333	1580	18.22545224
1.10	26.500	1590	20.23610116
1.11	26.667	1600	19.46494055
1.12	26.833	1610	19.61839271
1.13	27.000	1620	20.18294666
1.13	27.167	1630	21.84320505
1.14	27.333	1640	20.86227539
1.15	27.500	1650	22.2900568
1.15	27.667	1660	20.33474653
1.16	27.833	1670	21.78422466
1.17	28.000	1680	20.85999754
1.17	28.167	1690	20.74751171
1.18	28.333	1700	20.21842779
1.19	28.500	1710	18.81133463
1.19	28.667	1720	20.4164961
1.20	28.833	1730	20.25921951
1.21	29.000	1740	19.95741636
1.22	29.167	1750	18.46231737
1.22	29.333	1760	17.93949029
1.23	29.500	1770	17.06724921
1.24	29.667	1780	18.79629146
1.24	29.833	1790	17.44304272
1.25	30.000	1800	17.72015608
1.26	30.167	1810	15.94078584
1.26	30.333	1820	15.3830301
1.27	30.500	1830	15.92748038
1.28	30.667	1840	14.73115763
1.28	30.833	1850	13.47859832
1.29	31.000	1860	13.79976546
1.30	31.167	1870	14.17771325
1.31	31.333	1880	13.98229801
1.31	31.500	1890	11.75750368
1.32	31.667	1900	12.44855834
1.33	31.833	1910	12.76889243
1.33	32.000	1920	12.79959642
1.34	32.167	1930	13.92703749
1.35	32.333	1940	13.1751786
1.35	32.500	1950	14.08431619
1.36	32.667	1960	11.1363409
1.37	32.833	1970	11.74419197
1.38	33.000	1980	11.34407413
1.38	33.167	1990	11.87160037
1.39	33.333	2000	13.73464931
1.40	33.500	2010	11.68073324
1.40	33.667	2020	12.89716402
1.41	33.833	2030	13.73694664
1.42	34.000	2040	13.44905492
1.42	34.167	2050	13.21693112
1.43	34.333	2060	15.0186873
1.44	34.500	2070	12.33457731
1.44	34.667	2080	14.11347643
1.45	34.833	2090	13.94834181
1.46	35.000	2100	14.52544122
1.47	35.167	2110	14.48387421
1.47	35.333	2120	14.88464419
1.48	35.500	2130	12.46958781
1.49	35.667	2140	12.57624593
1.49	35.833	2150	13.83887987
1.50	36.000	2160	13.57415414
1.51	36.167	2170	12.63324464
1.51	36.333	2180	13.03508711
1.52	36.500	2190	14.33969789
1.53	36.667	2200	13.13437726
1.53	36.833	2210	14.79147394
1.54	37.000	2220	13.54876815
1.55	37.167	2230	12.35428328
1.56	37.333	2240	14.16616576
1.56	37.500	2250	13.68207471
1.57	37.667	2260	13.13733246
1.58	37.833	2270	14.13553101
1.58	38.000	2280	14.27094435
1.59	38.167	2290	13.99569715
1.60	38.333	2300	14.16154673
1.60	38.500	2310	15.09875463
1.61	38.667	2320	14.91466983
1.62	38.833	2330	15.51272318
1.63	39.000	2340	17.80441431
1.63	39.167	2350	15.92999013
1.64	39.333	2360	15.38305666
1.65	39.500	2370	18.30846676
1.65	39.667	2380	16.23065037
1.66	39.833	2390	16.06371657
1.67	40.000	2400	17.78582669
1.67	40.167	2410	18.41709265
1.68	40.333	2420	18.32641963
1.69	40.500	2430	17.25004468
1.69	40.667	2440	16.81202536
1.70	40.833	2450	15.92636559
1.71	41.000	2460	16.44483921
1.72	41.167	2470	16.72688671
1.72	41.333	2480	17.0097069
1.73	41.500	2490	16.69135031
1.74	41.667	2500	16.20296458
1.74	41.833	2510	15.65210258
1.75	42.000	2520	17.04986612
1.76	42.167	2530	17.86712744
1.76	42.333	2540	15.46717258
1.77	42.500	2550	15.78361398
1.78	42.667	2560	15.38190033
1.78	42.833	2570	15.83841291
1.79	43.000	2580	14.0694322
1.80	43.167	2590	15.88192825
1.81	43.333	2600	16.24424706
1.81	43.500	2610	14.33596973
1.82	43.667	2620	14.64529928
1.83	43.833	2630	14.50420604
1.83	44.000	2640	14.420499
1.84	44.167	2650	16.44519048
1.85	44.333	2660	15.82493808
1.85	44.500	2670	16.36342879
1.86	44.667	2680	16.99993964
1.87	44.833	2690	15.19198696
1.88	45.000	2700	17.21140023
1.88	45.167	2710	17.76039571
1.89	45.333	2720	16.37969041
1.90	45.500	2730	17.72172795
1.90	45.667	2740	16.46649101
1.91	45.833	2750	19.30455477
1.92	46.000	2760	18.60034656
1.92	46.167	2770	18.36169407
1.93	46.333	2780	19.7318152
1.94	46.500	2790	18.48180974
1.94	46.667	2800	18.97315974
1.95	46.833	2810	18.37616778
1.96	47.000	2820	18.60724514
1.97	47.167	2830	19.91229116
1.97	47.333	2840	18.66855593
1.98	47.500	2850	19.98884436
1.99	47.667	2860	17.99477897
1.99	47.833	2870	20.4369914
2.00	48.000	2880	20.1748904
2.01	48.167	2890	20.02402362
2.01	48.333	2900	18.48722628
2.02	48.500	2910	18.95196908
2.03	48.667	2920	20.95473285
2.03	48.833	2930	18.56259215
2.04	49.000	2940	19.03816558
2.05	49.167	2950	20.15691355
2.06	49.333	2960	19.86212565
2.06	49.500	2970	17.93919733
2.07	49.667	2980	18.76250829
2.08	49.833	2990	18.78193586
2.08	50.000	3000	19.11390684
2.09	50.167	3010	19.49125504
2.10	50.333	3020	20.28207512
2.10	50.500	3030	21.75180696
2.11	50.667	3040	20.47160676
2.12	50.833	3050	19.93442511
2.13	51.000	3060	20.07317684
2.13	51.167	3070	19.85748952
2.14	51.333	3080	19.92845269
2.15	51.500	3090	21.86525714
2.15	51.667	3100	21.69567548
2.16	51.833	3110	20.72855623
2.17	52.000	3120	19.03192439
2.17	52.167	3130	19.40317643
2.18	52.333	3140	19.99855864
2.19	52.500	3150	20.28154353
2.19	52.667	3160	18.8703724
2.20	52.833	3170	20.35540778
2.21	53.000	3180	18.72169295
2.22	53.167	3190	18.47003669
2.22	53.333	3200	16.85797172
2.23	53.500	3210	17.67267419
2.24	53.667	3220	16.69093846
2.24	53.833	3230	18.50483745
2.25	54.000	3240	16.10681089
2.26	54.167	3250	15.81277084
2.26	54.333	3260	15.68522492
2.27	54.500	3270	14.50743136
2.28	54.667	3280	14.84624937
2.28	54.833	3290	13.89062076
2.29	55.000	3300	13.64089581
2.30	55.167	3310	13.50544636
2.31	55.333	3320	14.3398454
2.31	55.500	3330	13.52427968
2.32	55.667	3340	13.01132944
2.33	55.833	3350	11.92891143
2.33	56.000	3360	12.69570905
2.34	56.167	3370	12.99185726
2.35	56.333	3380	12.94972652
2.35	56.500	3390	12.00638826
2.36	56.667	3400	11.36400921
2.37	56.833	3410	12.69513816
2.38	57.000	3420	13.58854772
2.38	57.167	3430	11.97340604
2.39	57.333	3440	12.95304311
2.40	57.500	3450	14.02665046
2.40	57.667	3460	12.60380216
2.41	57.833	3470	11.77316182
2.42	58.000	3480	13.29926522
2.42	58.167	3490	12.18947189
2.43	58.333	3500	14.16896016
2.44	58.500	3510	14.47477875
2.44	58.667	3520	15.05316199
2.45	58.833	3530	14.30766661
2.46	59.000	3540	13.91952445
2.47	59.167	3550	14.67642266
2.47	59.333	3560	13.0774054
2.48	59.500	3570	12.03471208
2.49	59.667	3580	14.36823914
2.49	59.833	3590	14.30395139
2.50	60.000	3600	12.08398113
2.51	60.167	3610	13.66023104
2.51	60.333	3620	14.05434898
2.52	60.500	3630	12.75988037
2.53	60.667	3640	12.98143005
2.53	60.833	3650	13.23731545
2.54	61.000	3660	13.63448386
2.55	61.167	3670	13.03558481
2.56	61.333	3680	14.00519194
2.56	61.500	3690	14.18719823
2.57	61.667	3700	14.66795204
2.58	61.833	3710	14.27061087
2.58	62.000	3720	15.6931275
2.59	62.167	3730	16.24481433
2.60	62.333	3740	16.47428616
2.60	62.500	3750	17.05139898
2.61	62.667	3760	14.64887253
2.62	62.833	3770	15.29897992
2.63	63.000	3780	16.65672295
2.63	63.167	3790	15.55865698
2.64	63.333	3800	15.90106204
2.65	63.500	3810	16.19388034
2.65	63.667	3820	16.20870687
2.66	63.833	3830	17.43064044
2.67	64.000	3840	17.84942014
2.67	64.167	3850	18.39033202
2.68	64.333	3860	18.15022351
2.69	64.500	3870	17.12854749
2.69	64.667	3880	18.08370215
2.70	64.833	3890	18.26924269
2.71	65.000	3900	17.87993286
2.72	65.167	3910	18.24420647
2.72	65.333	3920	16.75331228
2.73	65.500	3930	16.85026188
2.74	65.667	3940	17.82538117
2.74	65.833	3950	15.84328915
2.75	66.000	3960	15.61474006
2.76	66.167	3970	16.73956466
2.76	66.333	3980	16.23143893
2.77	66.500	3990	15.66606776
2.78	66.667	4000	15.57054711
2.78	66.833	4010	15.39437954
2.79	67.000	4020	16.17754797
2.80	67.167	4030	15.76591754
2.81	67.333	4040	16.18209764
2.81	67.500	4050	15.78892083
2.82	67.667	4060	15.23422915
2.83	67.833	4070	15.27001094
2.83	68.000	4080	14.36379224
2.84	68.167	4090	17.59739012
2.85	68.333	4100	14.89139428
2.85	68.500	4110	17.00010967
2.86	68.667	4120	16.61506718
2.87	68.833	4130	17.3655965
2.88	69.000	4140	17.00139014
2.88	69.167	4150	16.41822486
2.89	69.333	4160	17.64965055
2.90	69.500	4170	18.3156831
2.90	69.667	4180	18.54673296
2.91	69.833	4190	18.81597167
2.92	70.000	4200	17.0756945
2.92	70.167	4210	20.05218736
2.93	70.333	4220	18.85696987
2.94	70.500	4230	19.75547777
2.94	70.667	4240	19.45431666
2.95	70.833	4250	18.88697603
2.96	71.000	4260	18.94409522
2.97	71.167	4270	18.71075357
2.97	71.333	4280	19.09931318
2.98	71.500	4290	20.1235825
2.99	71.667	4300	19.52623022
2.99	71.833	4310	18.88305773
3.00	72.000	4320	19.03876937
3.01	72.167	4330	20.23063463
3.01	72.333	4340	19.76098442
3.02	72.500	4350	18.71794434
3.03	72.667	4360	18.23827907
3.03	72.833	4370	18.2569837
3.04	73.000	4380	19.87512114
3.05	73.167	4390	20.91463835
3.06	73.333	4400	21.10485257
3.06	73.500	4410	20.3472983
3.07	73.667	4420	19.84693534
3.08	73.833	4430	20.70304
3.08	74.000	4440	19.35415138
3.09	74.167	4450	19.83856712
3.10	74.333	4460	20.04883282
3.10	74.500	4470	19.78180728
3.11	74.667	4480	20.9778187
3.12	74.833	4490	20.01614424
3.13	75.000	4500	19.8324029
3.13	75.167	4510	20.07377396
3.14	75.333	4520	21.7654164
3.15	75.500	4530	20.0587874
3.15	75.667	4540	20.97629706
3.16	75.833	4550	21.97265945
3.17	76.000	4560	21.15695149
3.17	76.167	4570	19.20776556
3.18	76.333	4580	19.88060068
3.19	76.500	4590	19.1488877
3.19	76.667	4600	18.8495652
3.20	76.833	4610	18.87657463
3.21	77.000	4620	19.30122099
3.22	77.167	4630	18.01689474
3.22	77.333	4640	18.83936065
3.23	77.500	4650	16.58778578
3.24	77.667	4660	16.9055818
3.24	77.833	4670	15.94869042
3.25	78.000	4680	15.2941672
3.26	78.167	4690	17.2204615
3.26	78.333	4700	15.19093059
3.27	78.500	4710	15.29463987
3.28	78.667	4720	14.32506251
3.28	78.833	4730	15.01899242
3.29	79.000	4740	13.22958399
3.30	79.167	4750	14.90651487
3.31	79.333	4760	13.06245947
3.31	79.500	4770	14.39925612
3.32	79.667	4780	12.59695386
3.33	79.833	4790	12.27212263
3.33	80.000	4800	12.17253181
3.34	80.167	4810	11.93727557
3.35	80.333	4820	12.83928428
3.35	80.500	4830	13.79419575
3.36	80.667	4840	12.16577746
3.37	80.833	4850	13.07905698
3.38	81.000	4860	13.08670034
3.38	81.167	4870	13.64168947
3.39	81.333	4880	11.76410649
3.40	81.500	4890	12.14341872
3.40	81.667	4900	12.01435836
3.41	81.833	4910	11.82886667
3.42	82.000	4920	13.95294685
3.42	82.167	4930	14.07146569
3.43	82.333	4940	12.36781368
3.44	82.500	4950	12.9444416
3.44	82.667	4960	14.07729326
3.45	82.833	4970	13.48635913
3.46	83.000	4980	12.07844237
3.47	83.167	4990	14.82209494
3.47	83.333	5000	15.31351233
3.48	83.500	5010	13.44280785
3.49	83.667	5020	14.75109015
3.49	83.833	5030	15.22510443
3.50	84.000	5040	13.32950242
3.51	84.167	5050	13.57605868
3.51	84.333	5060	12.7893408
3.52	84.500	5070	13.22191212
3.53	84.667	5080	12.52845413
3.53	84.833	5090	14.6230135
3.54	85.000	5100	13.52691635
3.55	85.167	5110	13.5771059
3.56	85.333	5120	12.54262454
3.56	85.500	5130	14.07056557
3.57	85.667	5140	13.46118692
3.58	85.833	5150	14.60703119
3.58	86.000	5160	12.99738948
3.59	86.167	5170	16.00870095
3.60	86.333	5180	15.95751073
3.60	86.500	5190	15.46826995
3.61	86.667	5200	15.73749352
3.62	86.833	5210	14.36004082
3.63	87.000	5220	17.1579423
3.63	87.167	5230	16.28948686
3.64	87.333	5240	16.92347158
3.65	87.500	5250	17.56559702
3.65	87.667	5260	16.23483765
3.66	87.833	5270	17.57102088
3.67	88.000	5280	16.16386603
3.67	88.167	5290	16.36789674
3.68	88.333	5300	16.93256586
3.69	88.500	5310	16.76929365
3.69	88.667	5320	17.68046167
3.70	88.833	5330	18.29713119
3.71	89.000	5340	17.42553985
3.72	89.167	5350	16.32267479
3.72	89.333	5360	17.80088117
3.73	89.500	5370	18.09924758
3.74	89.667	5380	16.19350054
3.74	89.833	5390	15.90212674
3.75	90.000	5400	14.8578465
3.76	90.167	5410	16.04088879
3.76	90.333	5420	16.1734712
3.77	90.500	5430	15.37150927
3.78	90.667	5440	15.84548411
3.78	90.833	5450	16.71070846
3.79	91.000	5460	15.78244821
3.80	91.167	5470	15.20434002
3.81	91.333	5480	15.07152496
3.81	91.500	5490	15.72109917
3.82	91.667	5500	15.18750932
3.83	91.833	5510	16.87954852
3.83	92.000	5520	16.13725742
3.84	92.167	5530	15.51495574
3.85	92.333	5540	14.58333041
3.85	92.500	5550	16.3795124
3.86	92.667	5560	17.0465202
3.87	92.833	5570	17.57982186
3.88	93.000	5580	17.47017659
3.88	93.167	5590	17.30372719
3.89	93.333	5600	17.8320606
3.90	93.500	5610	16.87148087
3.90	93.667	5620	18.01442948
3.91	93.833	5630	19.28974448
3.92	94.000	5640	17.74939072
3.92	94.167	5650	17.94217195
3.93	94.333	5660	19.11016484
3.94	94.500	5670	19.03366846
3.94	94.667	5680	19.97935237
3.95	94.833	5690	18.29427114
3.96	95.000	5700	20.75707214
3.97	95.167	5710	20.61448945
3.97	95.333	5720	19.39982064
3.98	95.500	5730	19.52945805
3.99	95.667	5740	18.46134021
3.99	95.833	5750	19.13449489
4.00	96.000	5760	19.58952535
4.01	96.167	5770	19.58314191
4.01	96.333	5780	20.67916436
4.02	96.500	5790	19.45152277
4.03	96.667	5800	19.47220593
4.03	96.833	5810	20.20523604
4.04	97.000	5820	19.03710642
4.05	97.167	5830	20.13996782
4.06	97.333	5840	19.59298596
4.06	97.500	5850	20.30497108
4.07	97.667	5860	18.7526405
4.08	97.833	5870	20.2589724
4.08	98.000	5880	18.77932585
4.09	98.167	5890	19.71303153
4.10	98.333	5900	21.37866969
4.10	98.500	5910	21.17375412
4.11	98.667	5920	19.67297519
4.12	98.833	5930	20.70643741
4.13	99.000	5940	21.00862736
4.13	99.167	5950	19.90052618
4.14	99.333	5960	21.11689541
4.15	99.500	5970	18.82532783
4.15	99.667	5980	20.53623205
4.16	99.833	5990	19.66480396
4.17	100.000	6000	19.8594881
4.17	100.167	6010	20.35820031
4.18	100.333	6020	19.69372644
4.19	100.500	6030	18.53536424
4.19	100.667	6040	18.10117542
4.20	100.833	6050	19.44511219
4.21	101.000	6060	19.27523544
4.22	101.167	6070	19.12560653
4.22	101.333	6080	19.1788693
4.23	101.500	6090	18.11816814
4.24	101.667	6100	17.17681394
4.24	101.833	6110	16.45280324
4.25	102.000	6120	16.88832021
4.26	102.167	6130	16.58684158
4.26	102.333	6140	14.20449036
4.27	102.500	6150	15.73883073
4.28	102.667	6160	14.85006693
4.28	102.833	6170	13.10670858
4.29	103.000	6180	14.59503404
4.30	103.167	6190	12.09677805
4.31	103.333	6200	11.59208637
4.31	103.500	6210	14.30185873
4.32	103.667	6220	13.41904464
4.33	103.833	6230	12.34580346
4.33	104.000	6240	12.88914688
4.34	104.167	6250	11.4777546
4.35	104.333	6260	12.5258218
4.35	104.500	6270	12.3353634
4.36	104.667	6280	12.34558703
4.37	104.833	6290	12.66245156
4.38	105.000	6300	11.82116228
4.38	105.167	6310	12.56154362
4.39	105.333	6320	13.20400723
4.40	105.500	6330	12.22544748
4.40	105.667	6340	12.98482915
4.41	105.833	6350	12.23562336
4.42	106.000	6360	12.41431324
4.42	106.167	6370	13.58072652
4.43	106.333	6380	13.23117881
4.44	106.500	6390	13.71850358
4.44	106.667	6400	13.06870408
4.45	106.833	6410	14.21220936
4.46	107.000	6420	14.10710109
4.47	107.167	6430	14.41126196
4.47	107.333	6440	14.32277238
4.48	107.500	6450	14.33545166
4.49	107.667	6460	12.54650314
4.49	107.833	6470	14.13083797
4.50	108.000	6480	12.70300916
4.51	108.167	6490	12.55736119
4.51	108.333	6500	12.80221526
4.52	108.500	6510	14.04945083
4.53	108.667	6520	12.76189184
4.53	108.833	6530	12.79527085
4.54	109.000	6540	13.7449016
4.55	109.167	6550	14.13061952
4.56	109.333	6560	13.3116165
4.56	109.500	6570	14.18966463
4.57	109.667	6580	14.63905165
4.58	109.833	6590	13.2560597
4.58	110.000	6600	13.97797179
4.59	110.167	6610	14.1357116
4.60	110.333	6620	15.28952305
4.60	110.500	6630	15.20257583
4.61	110.667	6640	15.13262719
4.62	110.833	6650	16.17643978
4.63	111.000	6660	15.80842384
4.63	111.167	6670	16.64181779
4.64	111.333	6680	16.8675912
4.65	111.500	6690	17.97810034
4.65	111.667	6700	15.84472943
4.66	111.833	6710	16.33875653
4.67	112.000	6720	15.9301974
4.67	112.167	6730	17.59281899
4.68	112.333	6740	16.83023929
4.69	112.500	6750	17.31087552
4.69	112.667	6760	16.73057045
4.70	112.833	6770	18.82044319
4.71	113.000	6780	16.08130721
4.72	113.167	6790	18.90203405
4.72	113.333	6800	16.20674079
4.73	113.500	6810	18.53198969
4.74	113.667	6820	16.48013793
4.74	113.833	6830	15.82356456
4.75	114.000	6840	15.34819091
4.76	114.167	6850	17.26738046
4.76	114.333	6860	16.72240571
4.77	114.500	6870	17.22788089
4.78	114.667	6880	14.83178876
4.78	114.833	6890	15.87318519
4.79	115.000	6900	16.2874746
4.80	115.167	6910	14.68695259
4.81	115.333	6920	14.79609127
4.81	115.500	6930	15.4026824
4.82	115.667	6940	15.27340975
4.83	115.833	6950	15.43689022
4.83	116.000	6960	14.43448102
4.84	116.167	6970	16.97824286
4.85	116.333	6980	16.16160944
4.85	116.500	6990	14.57523394
4.86	116.667	7000	15.39131227
4.87	116.833	7010	15.61860958
4.88	117.000	7020	17.92049291
4.88	117.167	7030	16.46734977
4.89	117.333	7040	18.32363042
4.90	117.500	7050	18.33321059
4.90	117.667	7060	16.46302652
4.91	117.833	7070	18.93266674
4.92	118.000	7080	18.92624923
4.92	118.167	7090	19.6340206
4.93	118.333	7100	20.3269187
4.94	118.500	7110	18.40803773
4.94	118.667	7120	19.90903829
4.95	118.833	7130	18.79265279
4.96	119.000	7140	19.75159461
4.97	119.167	7150	19.45961693
4.97	119.333	7160	19.33402133
4.98	119.500	7170	18.54476959
4.99	119.667	7180	19.96038706
4.99	119.833	7190	18.3997113
5.00	120.000	7200	20.19441072
5.01	120.167	7210	19.79739136
5.01	120.333	7220	17.55267641
5.02	120.500	7230	19.71947224
5.03	120.667	7240	18.20749335
5.03	120.833	7250	18.72263322
5.04	121.000	7260	18.8784681
5.05	121.167	7270	18.7595202
5.06	121.333	7280	19.16472564
5.06	121.500	7290	18.65256991
5.07	121.667	7300	20.71720016
5.08	121.833	7310	18.13434882
5.08	122.000	7320	18.7983914
5.09	122.167	7330	20.81370356
5.10	122.333	7340	20.20712953
5.10	122.500	7350	19.9080107
5.11	122.667	7360	20.98341383
5.12	122.833	7370	21.22594573
5.13	123.000	7380	19.1059954
5.13	123.167	7390	21.11150682
5.14	123.333	7400	19.81414105
5.15	123.500	7410	21.02080909
5.15	123.667	7420	21.86192175
5.16	123.833	7430	20.61349359
5.17	124.000	7440	21.29864592
5.17	124.167	7450	20.97513999
5.18	124.333	7460	20.35145293
5.19	124.500	7470	19.0915483
5.19	124.667	7480	18.75074431
5.20	124.833	7490	19.2010206
5.21	125.000	7500	19.27678904
5.22	125.167	7510	18.89066676
5.22	125.333	7520	17.89553375
5.23	125.500	7530	17.6290985
5.24	125.667	7540	18.66918059
5.24	125.833	7550	16.05435058
5.25	126.000	7560	16.83341684
5.26	126.167	7570	15.49633371
5.26	126.333	7580	16.38092535
5.27	126.500	7590	14.1477157
5.28	126.667	7600	13.48753335
5.28	126.833	7610	14.36820101
5.29	127.000	7620	13.92475198
5.30	127.167	7630	13.73044474
5.31	127.333	7640	14.20341239
5.31	127.500	7650	13.88025579
5.32	127.667	7660	11.58161634
5.33	127.833	7670	11.66234651
5.33	128.000	7680	11.93143751
5.34	128.167	7690	12.99101822
5.35	128.333	7700	12.75471255
5.35	128.500	7710	13.28333322
5.36	128.667	7720	13.02019057
5.37	128.833	7730	11.34788788
5.38	129.000	7740	12.97742164
5.38	129.167	7750	11.64318814
5.39	129.333	7760	12.78961677
5.40	129.500	7770	12.67171191
5.40	129.667	7780	12.49721095
5.41	129.833	7790	12.6921924
5.42	130.000	7800	14.31947351
5.42	130.167	7810	14.23677546
5.43	130.333	7820	15.08047603
5.44	130.500	7830	14.55000178
5.44	130.667	7840	14.76543496
5.45	130.833	7850	14.57002492
5.46	131.000	7860	14.98735185
5.47	131.167	7870	14.24588457
5.47	131.333	7880	12.69408343
5.48	131.500	7890	13.66501477
5.49	131.667	7900	14.86072065
5.49	131.833	7910	14.34737858
5.50	132.000	7920	13.23929593
5.51	132.167	7930	14.05199246
5.51	132.333	7940	13.08073358
5.52	132.500	7950	14.13309148
5.53	132.667	7960	14.39453332
5.53	132.833	7970	14.00730364
5.54	133.000	7980	13.55347008
5.55	133.167	7990	13.3037986
5.56	133.333	8000	14.67554896
5.56	133.500	8010	14.97850606
5.57	133.667	8020	14.62387544
5.58	133.833	8030	13.46414121
5.58	134.000	8040	15.11420118
5.59	134.167	8050	13.69300548
5.60	134.333	8060	15.56719906
5.60	134.500	8070	14.80555954
5.61	134.667	8080	14.78106722
5.62	134.833	8090	16.41578109
5.63	135.000	8100	16.99214822
5.63	135.167	8110	17.09343164
5.64	135.333	8120	17.42414754
5.65	135.500	8130	16.82996736
5.65	135.667	8140	17.65922368
5.66	135.833	8150	17.55228074
5.67	136.000	8160	18.34538888
5.67	136.167	8170	17.84676591
5.68	136.333	8180	18.77232811
5.69	136.500	8190	16.05059163
5.69	136.667	8200	16.83364412
5.70	136.833	8210	16.65924557
5.71	137.000	8220	18.91320641
5.72	137.167	8230	16.73910175
5.72	137.333	8240	18.32562465
5.73	137.500	8250	18.73422358
5.74	137.667	8260	16.02840178
5.74	137.833	8270	17.97247784
